Scheme,State Nodal Dept,Relevant Components/Description,Eligibility
Focus Technology Revisiting Crop Demonstrations,Agriculture Department,"1. Green Manure- Paddy SRI- Rice fallow pulses in relay crop mode demonstration in a cluster of 5 ha - 50 % subsidy limited to a maximum of ? 22500 per cluster.
2. Hybrid Maize - Demonstration in a cluster of 5 ha - 50 % subsidy limited to a maximum of ? 10000 per cluster.
3. Pulses Demonstration in a cluster of 5 ha - 50 % subsidy limited to a maximum of ? 6250 per cluster.
",
Integrated Development of Pulses Village,Agriculture Department,"100 % subsidy towards the cost of seed minikits for 0.2 ha., inputs for INM, IPM and training on e-pest surveillance a) Redgram -? 5400 per ha. b) Blackgram – ? 4800 per ha.",
"100 % subsidy towards the cost of seed minikits for 0.2 ha., inputs for INM, IPM and training on e-pest surveillance a) Redgram -? 5400 per ha. b) Blackgram – ? 4800 per ha.",Agriculture Department,"Laying out demonstration plots – ? 35,000 will be given in two instalments towards laying out demonstration plots at ? 17,500 per ha / year.",
Integrated Development of Pulses Villages in Rainfed Areas Under National Agriculture Development Programme,Agriculture Department,"In the districts of Dharmapuri, Krishnagiri, Thiruvannamalai, Vellore and Thoothukudi.1.To harvest, conserve and manage the rain water mainly to reduce the impact of the moisture stress and bring about sustainability in pulses production.2.To give supplemental irrigation during the critical period of the pulses plant growth.Integrated Development of Pulses Villages in Rainfed Areasa.New Farm Ponds with polythene liningb.Plastic lining of developed pondsi.Creation of New Farm Ponds",
Integrated Horticulture Development Scheme- General,Agriculture Department,"Distribution of planting materials and Hybrid / High-yielding vegetable seeds at 50 % subsidy. For Horticulture Plants, the subsidy would be given for 1 ha per beneficiary. In respect of vegetable seeds, the subsidy would be given for 0.5 ha per beneficiary. With regard to flower seeds / plants, the subsidy would be given for 0.5 ha per beneficiary.",
Integrated Pest Management Demonstration Cum Training,Agriculture Department,"A lumpsum provision of ? 17,000 is allowed towards demonstration of 40 ha each and training per farmers’ Field School through cluster approach.",
Intensification of Redgram Cultivation Through Demonstration,Agriculture Department,Input cost at 50 % subsidy to a maximum of ? 5000 per ha will be given.,
Irrigated Agriculture Modernisation & Water Bodies Restoration & Management Project (AMWARM),Agriculture Department,"It intends to diversify crops from more water utilising into less water utilising high-yielding, hybrid and market driven horticulture crops in 63 river sub-basins in Tamil Nadu to increase area, productivity, organic status of soil and to bring notable improvement in the lifestyle of ayacut-farmers.",
Land Development,Agriculture Department,1.Jungle clearance (1 hour by dozer) Subsidy cost / acre (in) -? 670.2.Land shaping (1 hour 30 minutes of machine hour) Subsidy cost / acre (in) - ? 1005.3.Bunding (1 hour machine hour) (T 0.3 mt. X H 0.3 mt. X B 0.9 mt.) Subsidy cost / acre (in) - ? 670.4.One disc and one tiller ploughing (4 machine hour) Subsidy cost / acre (in) - ? 1060.,
Minor Irrigation Scheme,Agriculture Department,"Only for the districts Coimbatore, Cuddalore, Dharmapuri, Dindigul, Erode, Kanchipuram, Karur, Krishnagiri, Madurai, Nagapattinam, Perambalur, Pudukottai, Ramanathapuram, Salem, Thanjavur, Theni, Thiruvallur, Thiruvannamalai, Thiruvarur, Tiruppur, Vellore, Villupuram, Virudhunagar, Sivagangai, Chennai, Namakkal, Tiruchirapalli, Thoothukudi, Thirunelveli and Ariyalur.",
(NADP) - Hi-TechProductivity Enhancement Programme,Agriculture Department,"All farmers of the State except Kanyakumari, The Nilgiris and Ramanathapuram districts. Improving productivity of horticulture crops through high tech practices like High density planting, Area Expansion, Mechanisation, Rejuvenation of old orchards, Canopy Management and inputs like planting material, seeds, fertiliser, Micro-Nutrient farm implements, etc., 50 % subsidy will be provided up to 1 ha horticultural operations being seasonal in nature distribution of inputs in the planting season is insisted.",
Organising Block Demonstration on Polythene Mulch Technology in Groundnut,Agriculture Department,An assistance of ? 4000 towards the cost of inputs to organise the demonstration and ? 4000 to cover the land with Polythene sheet per ha will be provided. Those farmers who produce and supply Foundation and Certified Class seeds to the Department are eligible to avail of the benefit.,
Organising Integrated Pest Management Demonstration,Agriculture Department,"? 22,680 per Demonstration. All maize growing farmers are eligible to avail of the subsidy under this scheme in the districts of Coimbatore, Dindigul, Erode, Dharmapuri, Krishnagiri, Namakkal, Perambalur, Virudhunagar, Theni, Villupuram, Vellore, Salem, Pudukottai, Madurai, Sivagangai, Trichy, Tirunelveli and Thoothukudi. Preference will be given to small/marginal farmers. 24 % flow to SC/ST farmers will be ensured. 20 % flow to women farmers/ women groups.",
Pipes Carrying Water from Source to Field,Agriculture Department,"Subsidy on 50 % cost or ? 15000 for water carrying pipes up to 800m and all types of pipes (PVC HDPE etc.,) and all sizes as per the requirement of the farmer. All farmers are eligible limited to target. 24 % flow to SC/ST farmers will be ensured. 20 % flow to women farmers/ women groups.",
Loan -Cum- Subsidy Scheme for Small and Medium Farmers,"BC, MBC &Minorities Welfare Department","The Government have introduced a Loan - Cum- Subsidy Scheme to small and medium farmers belonging to the Backward Classes/ Most Backward Classes/ Denotified Communities, for the creation of new minor irrigation facility vide G.O. Ms. No. 111, Backward Classes, Most Backward Classes and Minorities Welfare Department, Dated 31.12.2007. The Government have so far provided funds to the tune of ? 50 crore (2007-08 –? 25 crore and 2008-09 ? 25 crore) to TABCEDCO for providing subsidy under this scheme. The scheme has been implemented through TABCEDCO. Under this scheme, bank loan with 50",
Initiatives for Nutritional Security Through Intensive Millets Promotion,Agriculture Department,"a)Demonstrations – Input distribution free of cost for a maximum of 2 ha.i)Sorghum, cumbu, Ragi – ? 3000 per ha.ii)Varagu, Samai, Kudiraivali ?2000perha.b)Distribution of Minikits -i)Sorghum, Ragi, Kudiraivali, Varagu and Samai - at? 200 per 4 kg kit for one acre for every one ha. of land- holding to amaximum of 2 haii)Cumbu - at ?250 per 1.5 kg kit for one acre for every one ha of landholding to a maximum of 2 ha.c)Seed Production of high-yielding varieties of Cumbu and Ragi crops - Providing production incentive of ? 10 per kg of which ? 7.50 to the farmers and ? 2.50 to the seed processing agencies for processing and handling charges.d)State Level Seminar – Training of 120 farmers per districti)Stipend for food and transport - ? 200 per farmer per day.ii)Training materials – ? 50 per farmer.e)e) Farmers’ Training – Training of 50 farmers for 5 daysi)Stipend for food and transport – ? 500 per farmer per day.ii)Training kit worth of ? 500 per farmer.iii)Refreshment charges – ? 40 per farmer per day.",
Integrated Development of Pulses Villages in Rainfed Areas Under National Agriculture Development Programme,Agriculture Department,"In the districts of Dharmapuri, Krishnagiri, Thiruvannamalai, Vellore and Thoothukudi.1.To harvest, conserve and manage the rain water mainly to reduce the impact of the moisture stress and bring about sustainability in pulses production.2.To give supplemental irrigation during the critical period of the pulses plant growth. Integrated Development of Pulses Villages in Rainfed Areasa.New Farm Ponds with polythene liningb.Plastic lining of developed pondsi.Creation of New Farm Pondsa. Construction of Farm Pond - 100 % subsidy to farmersb.Farm Pond lining - 50 % subsidy to farmersii.Polythene lining of developed ponds - 50 % subsidy to farmers.
",
Land Development,Agriculture Department,1.Jungle clearance (1 hour by dozer) Subsidy cost / acre (in) -? 670.2.Land shaping (1 hour 30 minutes of machine hour) Subsidy cost / acre (in) - ? 1005.3.Bunding (1 hour machine hour) (T 0.3 mt. X H 0.3 mt. X B 0.9 mt.) Subsidy cost / acre (in) - ? 670.4.One disc and one tiller ploughing (4 machine hour) Subsidy cost / acre (in) - ? 1060.,
Pipes Carrying Water from Source to Field,Agriculture Department,"Subsidy on 50 % cost or ? 15000 for water carrying pipes up to 800m and all types of pipes (PVC HDPE etc.,) and all sizes as per the requirement of the farmer. All farmers are eligible limited to target. 24 % flow to SC/ST farmers will be ensured. 20 % flow to women farmers/ women groups.",
Planting Horticulture Crops,Agriculture Department,"1.Cost of plants-Subsidy cost / acre. As fixed by the Government in the State Horticulture Farms2.Pitting Charges (1mt.x1 mt.x1 mt.) Subsidy cost - ? 15 per Transport cost per plant-Subsidy cost - Actual cost or limited to - ? 2 per plant whichever is less4.Bio-fertiliser, micro-nutrients, gypsum, farmyard manure, organic manure, etc., Subsidy cost - ? 20 per pit5.Planting cost at the time of planting (mixing of farmyard manure, bio-fertiliser, gypsum, etc., and filling the pit,planting and staking) Subsidy cost - ? 4 per plant6.Casualty replacement (if necessary) Subsidy cost - ? 200 per acre7.Micro-irrigation / Drip irrigation by Horticulture Department Subsidy cost / acre (in) As per Government of India norms8.Cost of creation of water source per acre irrigation facilities byAgricultural Engineering Department. Geophysical survey, Cost of sinking of Borewell, Erection of casing pipes, pumps and motor. Subsidy cost - ? 8,900 per acre.",
Precision Farming,Agriculture Department,"a.Critical inputs 50 % subsidy (maximum subsidy of ? 25,000 per hectare)b.Drip and Fertigation Systema)100 % subsidy of total costb)75 % subsidy of total Training to Farmers-Two days training at ? 1000 per farmer.",
Distribution of Government Waste Lands to Landless Poor Agricultural Labour Families under Revised Comprehensive Wasteland Development Programme,Agriculture Department,1.Landless poor agricultural labour families2.Government poramboke wastelands without encroachment (Category – I).3.Government poramboke wastelands with encroachment by small and marginal farmers (Category- II).4.Patta wasteland - Wastelands which are patta lands of small and marginal farmers who come forward on their own volition (Category–III).,
Development Of Agriculture Clusters under Revised Comprehensive Wasteland Development Programme,Agriculture Department,"Wherever category-III lands are available in a block of 50.00 acre and above and also the beneficiaries are willing to form a lift irrigation society, such lands are taken up for development of agriculture crops. Subsidy cost / acre in ?1.Land development - ? 3400 2.Erection of borewell - ? 8900 3.Drip and Fertigation system - ? 32,000 4.Community nursery - ? 2000 5.Seeds and Plants - ? 2000 6.Water soluble fertiliser (WSF) - ? 6000 7.Plant protection chemicals - ? 2000",
Sustainable Sugarcane Initiative (SSI),Agriculture Department,Cooperative / Private sugar mills / Progressive Sugarcane growers in all districts a)All small and marginal farmers b)Other than small and marginal farmers i)Shadenet for raising of single bud nursery - A subsidy of? 50 per on the cost (maximum ? 50000 per No.) ii)Distribution of critical Inputs– A subsidy of ? 50 per on the cost (maximum ? 25000 per ha.) iii)Installation of drip and Fertigation units –a)? 100 per subsidy of total cost limited to ? 43816 per beneficiary to small and marginal farmers. Training to farmers on SSI Technology and SSI nursery by TNAU/KVK at ? 1000 per farmer.b)? 75 per subsidy of total cost to other farmers.,
"Under Integrated Scheme for Oilseeds, Oil Palm and Maize (Isopom",Agriculture Department,"i)Production of Foundation and Certified Seeds – Seeds produced and supplied to the Department are entitled for a subsidy of ? 1000 per quintal ii) Distribution of Certified seeds – 50 % of the cost of seed (maximum ? 1200 per quintal) iii)Compact Block Demonstration of 5 ha. each – 50 % subsidy on the cost of inputs with maximum limit per Demonstration Groundnut - ? 4000, Gingelly - ? 1500, Sunflower - ? 2500 iv) Distribution of Rhizobium Packets – A subsidy of 50 % on the cost (maximum ? 100 per ha) v)Organising Integrated Pest Management Demonstration of 10 ha each – A provision of ? 22680 is made towards the cost of inputs to layout the demonstration and for training.vi)Distribution of Gypsum – 50 % of the cost of material plus transport charges (maximum ? 750 per ha.)vii) Distribution of Plant Protection Equipment –a) For manually operated sprayers 50 % subsidy in the cost of equipment (maximum ? 800)b)For power operated sprayers 50 % subsidy in the cost of equipment (maximum ? 2000) viii) Training of Farmers on Oilseeds Production Technologies – A provision of ? 15000 per batch of 50 farmers towards incidental charges ix) Distribution of Bio- Pesticides – 50 % Subsidy (maximum? 250/ha.) x) Distribution of Weedicides – 50 % Subsidy (maximum? 500/ha) xi) Pipes carrying water from source to field -A subsidy of 50% in the cost or maximum of ? 15,000 whichever is less for water carrying pipes up to 800 meter and all types of pipes (PVC or HDPE, etc.) and all size as per the requirement of the farmer xii) Combined Nutrient Spray for groundnut. A subsidy of ? 200 per ha for spraying of nutrient mixture of DAP, Ammonium Sulphate and Borax.",
Loan -Cum- Subsidy Scheme for Small and Medium Farmers,"BC, MBC & Minorities Welfare Department","The Government have introduced a Loan - Cum- Subsidy Scheme to small and medium farmers belonging to the Backward Classes/ Most Backward Classes/ Denotified Communities, for the creation of new minor irrigation facility vide G.O. Ms. No. 111, Backward Classes, Most Backward Classes and Minorities Welfare Department, Dated 31.12.2007. The Government have so far provided funds to the tune of ? 50 crore (2007-08 –? 25 crore and 2008-09 ? 25 crore) to TABCEDCO for providing subsidy under this scheme. The scheme has been implemented through TABCEDCO. Under this scheme, bank loan with 50% Government Subsidy subject to a maximum of ? 50000 is provided to each eligible beneficiary.",
General Term Loan Scheme of Tamil Nadu Backward Classes Economic Development Corporation Ltd. (TABCEDCO,"BC, MBC & Minorities Welfare Department","a)Beneficiaries should belong to i)Backward Classes ii)Most Backward Class iii)Denotified Communities b)The following conditions should be fulfilled -i)The family income of the beneficiary should not exceed? 40,000 p.a.in rural areas and ? 55,000 p.a. in urban areas.ii)Beneficiaries age should be above 18 years and below 60 years.iii)Loan assistance will be sanctioned for one person in a family.The term loan amounts are sanctioned to the eligible persons by the Corporation adopting the following patterns- Term Loan amounts 1) General Term Loan Scheme Beneficiary Share Pattern of Assistance-5% Interest (per annum)-TABCEDCO Share - Pattern ofAssistance - 10% Interest (per annum) - 6% National Corporation Share Project Cost - Pattern of Assistance- 85% Interest (per annum) - 6% Total Pattern of  Assistance 100% (Maximum ? 5 lakh depending upon the Trade, etc.) iv)Loans up to ? 1 lakh will be sanctioned by TABCEDCO v) Loans above ? 1 lakh will be sanctioned with the prior permission of National Corporation.vi)Repayment period is 3/5 years. (12 Quarterly / 20 Quarterly Instalments).",
Rural Girls Incentive Scheme,"BC, MBC &Minorities Welfare Department","1.Parental income is ? 25,000 per annum.2.Students studying in Government / Government aided schools in rural areas.3.For those belonging to MBC / DNConly.4.Preference will be given to girl children of widows / destitutes. ? 500 per annum for the girl students of Most Backward Classes and Denotified Communities and studying in3rd Std. to 5th Std, ? 1000 per annum for 6th Std.",
Milch Animal Loan Scheme,"BC, MBC &Minorities Welfare Department","Minorities are eligible. (Religious) Muslims, Christians, Sikhs, Buddhists, and Parsis, are eligible to apply. Annual income of the applicant should be within ? 40,000 in the rural areas and? 55,000 in the urban areas. Age limit above 18 years. Loan will be sanctioned for one person in a family. Documents to be produced 1. Income and Community Certificates. 2. Ration Card or Residency Certificate and other documents required by the banks. The loan is sanctioned at 6 % rate of interest for the purchase of two milch animals through AAVIN as detailed below Sl. No. Category One Milch Animal Two Milch Animals 1. Cross-bred cows ? 25,000 ? 50,000 2. Graded / Murrah Buffaloes? 35,000 ? 70,000. The loan is repayable in 36 monthly Instalments.",
Under Integrated Scheme for Oil Palm,Agriculture Department,"i)Cultivation Maintenance-An amount of ? 2450 per ha during second year, ? 2800 per ha during third year and ? 3250 per ha during the fourth year is provided towards maintenance of the oil palm crop. ii)Training to farmers on the production aspects of oilpalm ? 15,000 per training is provided towards incidental charges including transport, food, training materials,honorarium to trainers, refreshment, etc., at, 50 farmers per batch for 2 days iii)Covering the root stalk with wire mesh to avoid root damage by rats at ? 20 per seedling – ? 2860 per ha. iv) Lures for control of Rhinoceros beetle under IPM 50 % subsidy (maximum 100 per ha.)",
Reclamation of Saline and Alkaline Soil,Agriculture Department,"50 % subsidy to the maximum of ? 6000 /acre towards - Soil sampling & analysis - Green Manure seeds (30 kg /acre) - Formation of drainage channels. - Gypsum at 2 MT /acre - Zinc sulphate at 10 kg /acre. - Bio-fertilisers at 10 packets /acre - Seeds of tolerant crop varieties of paddy, millets and pulses.",
Training of Farmers on Pulses Production Technologies,Agriculture Department,"A provision of ? 15000 per batch of 50 farmers. All farmers who raise seed farms with pulses crop are eligible to avail of the subsidy subject to availability of funds. SC/ST 24 %, farm women 20 %.",
Mini Mission II – Technology Mission on Cotton,Agriculture Department,"i)Production of Certified Seeds 25 % subsidy (maximum? 1500 per quintal) for both varieties and hybrids.ii)Distribution of Certified Seeds of Cotton – 25 % of sale price for varieties per kg. (or) limited to 20 per kg.iii)Distribution of bio-pesticides / bio-agents 50 % cost limited to ? 900 per ha.iv)Organising Farmers’ Field Schools (FFS)- An assistance of? 17,000 is provided per FFS of 30 farmers.v)Organising Front Line Demonstration on production technology at ? 2000 per acre.",
Employment Opportunities,Adi Dravidar and Tribal Welfare Department,Employment opportunities to Educated Tribal Youth by providing subsidy.,
Employment Opportunities to Educated Tribal Youth,Adi Dravidar and Tribal Welfare Department,Unemployed Tribal Youth-Employment opportunities for Educated Tribal Youth.,
Entrepreneur Development Programme,Adi Dravidar and Tribal Welfare Department,Any income generating activity can be taken up. 30 per of the project cost (or) ? 2.25 lakh whichever is lower will be released as TAHDCO subsidy. The subsidy will be a back-end subsidy. The annual family income of the applicant should not exceed ? 1 lakh • should be in the age group of 18 to 55 years • Applicants and their family members should not have availed of back-end subsidy so far. • The applicant should have prior experience in the trade applied.,
Individual Entrepreneur Development Scheme,Adi Dravidar and Tribal Welfare Department,"Financial assistance to SC/ST for project costing up to ? 7.50 lakh. Subsidy 30 % of the unit cost subject to a maximum of? 25,000. Balance amount as bank loan. Up to loan for ? 1 lakh. no promoter's contribution. ? 1 lakh, and above 5 % is promoter's contribution",
Issue of Tools and Appliances,Adi Dravidar and Tribal Welfare Department,Sewing machines / carpentry tools to the SC/ST ITI holders / Iron Boxes to those who undertake ironing as a trade.,
Micro-Finance for Minority SHG,"BC, MBC &Minorities Welfare Department","The maximum and minimum numbers in the SHG are as follows: The maximum 20 Nos. The minimum 10 Nos. The Minority Self-Help Group must have a minimum of 60 % Minorities and balance numbers may be BC/SC, etc. All the beneficiaries are eligible for this loan. The SHG to be eligible for the loan should be practising thrift and credit for at least 6 months. Annual income of the applicant should be within ? 40,000 in the rural areas and ? 55,000 in the urban areas. The maximum loan amount of ? 25,000 is sanctioned per individual member of Minority Self-Help Group. The pattern of the above loans is NMDFC 90% TAMCO 10%. The rate of interest is 4 %. This loan is sanctioned through the District Central Coop. Bank, its branches/ Urban Cooperative Bank. This loan is repayable in 36 monthly Instalments",
Self-Help Group,"Cooperation, Food and Consumer Protection Department","Cooperation, Food and Consumer Protection Department, Loan for Self-Help Groups, Purpose for which loan can be obtained - Self-Help Group Maximum amount of loan - ? 1,00,000, Rate of interest (Subject to change) - 10 %.",
Subamathi Self-Help Group,Adi Dravidar and Tribal Welfare Department,"Subamathi Self-Help Group - For the group consisting of 10 to 20 members ? 5.00 lakh will be given as loan amount per group consisting of subsidy ? 1,00,000 margin money ? 75000 and bank loan ? 3,25,000 Subamathi Self-Help Group - Scavengers and their dependents.Certificate issued by the local authorities for employment as Sanitary Workers Groups organised by the NGO approved by the Mahalir Thittam.",
Economic Assistance to SHG,Adi Dravidar and Tribal Welfare Department,The members of the Self-Help Group shall belong to SC women. 50 per of the project cost or ? 2.50 lakh whichever is lower will be released as TAHDCO subsidy. The subsidy will be a back-end subsidy.,
Job Oriented Training- 2.2 Typewriting and Shorthand,Adi Dravidar and Tribal Welfare Department,Adi Dravidar/ Tribal/ Adi Dravidar converted to Christianity.,
"Training in Basket Making, Tailoring, etc. for the Women",Adi Dravidar and Tribal Welfare Department,"Training by Adi Dravidar and Tribal Welfare Dept. for the Tribal women in basket making, tailoring, etc",
Vocational Guidance Centre,Adi Dravidar and Tribal Welfare Department,"Tribals Vocational Guidance centre Udhagamandalam, guidance for tribal youth for employment purpose at Udhagamandalam.",
Vocational Training Programme,Adi Dravidar and Tribal Welfare Department,"Vocational Training Programme having high employment potential such as Computer Software, C Plus Plus, Java, Nursing Assistant, Air Hostess, Hotel Management, Fashion design and Garment making, etc., are organised in all districts, free of cost. For AD / Tribal Community Certificate, Ration Card is to be submitted",
Training Programme to Farmers on Handling and Maintenance of Agricultural Machinery,Agriculture Department,"Only the following districts: Coimbatore, Cuddalore, Dharmapuri, Dindigul, Erode, Kanchipuram, Karur, Krishnagiri, Madurai, Nagapattinam, Perambalur, Pudukottai, Ramanathapuram, Salem,Thanjavur,The Nilgiris,Theni,Thiruvallur,Thiruvannamalai, Thiruvarur, Tiruppur, Vellore, Villupuram, Virudhunagar, Sivagangai, Namakkal, Tiruchirapalli, Thoothukudi, Kanniyakumari, Tirunelveli and Ariyalur. 1. To impart training to farmers in handling and maintenance of agricultural machinery2. To I mprove the quality of manpower engaged in the field of agricultural mechanisation 3. To accelerate the pace of agricultural mechanisation in the State.",
Training Programme to Rural Youth on Handling and Maintenance of Agricultural Machinery and Implements,Agriculture Department,To impart training to rural youth in handling and maintenance of agricultural machinery. To improve the quality of manpower engaged in the field of agricultural mechanisation. To accelerate the pace of agricultural mechanisation in the State. For skill development. To motivate the youth to use latest farm machinery / implements to increase agricultural productivity. Details of Works Training programmes to rural youth on handling and maintenance of agricultural machinery and implements are conducted. Benefits offered (Subsidy). Works are executed with 100 % grant.,
Distribution of Free Iron Boxes,"BC, MBC &Minorities Welfare Department","1.Beneficiary should belong to BC/MBC/ DNCs and doing washing work. 2. The annual income should not exceed ? 40000 in the rural areas and ? 60,000 in the urban areas. Distribution of iron boxes free of cost.",
Grant Cum Loan Scheme for Setting up of Mobile Laundry,"BC, MBC &Minorities Welfare Department",The Government have issued orders to provide subsidised loan amount of ? 5000 (Subsidy ? 2000 plus loan ? 3000) to 1000 persons belonging to Backward Classes/ Most Backward Classes/ Denotified Communities for setting up of Mobile Laundry through TABCEDCO under General Term Loan terms and conditions. The loan amount of ? 3000 should be repaid in 2 years at 6 % interest.,
Individual Term Loan Scheme,"BC, MBC &Minorities Welfare Department","Schemes of BC, MBC Dept. Individual Term Loan Scheme. The loan amount up to ? 1,00,000 is sanctioned for business / project or for improvements in the business/project. The loan amount above ? 1,00,000 and up to ? 5,00,000 is sanctioned after getting approval of NMDFC, New Delhi.",
Distribution of Sewing Machines,"BC, MBC &Minorities Welfare Department","1. The beneficiary should belong to BC/ MBC/ DNCs 2. The annual income should not exceed ? 40000 in rural areas and? 60,000 in urban areas 3. Should have tailoring knowledge. 4. Age - from 20 to 45 years.",
Individual Term Loan Scheme for Minorities,"BC, MBC &Minorities Welfare Department","Age limit above 18 years. Loan will be sanctioned for one person in a family. Minorities are eligible. (Religious) Muslims, Christians, Sikhs, Buddhists, and Parsis are eligible to apply. Documents to be produced 1.Income and Community Certificates. 2. Ration Card or Residency Certificate and other documents required by the banks. The loan amount up to ? 1,00,000 is sanctioned at 6 % rate of interest for business / project. The loan amount more than ? 1,00,000 and up to ? 5,00,000 is sanctioned after getting approval of NMDFC, New Delhi. The loan contribution pattern is as follows NMDFC 85%, TAMCO 10%, Beneficiary 5%. This loan is given through the District Central Cooperative Bank, its branches / Urban Cooperative Bank / viable Primary Agricultural Cooperative Bank. The loan is repayable in 60 monthly instalments.",
Loan for the Purchase of Auto by FormingIndividual Coop. Societies Through TAICO Bank,"BC, MBC &Minorities Welfare Department","Minorities are eligible. (Religious) Muslims, Christians, Sikhs, Buddhists, and Parsis, are eligible to apply. Annual income of the applicant should be within ? 40,000 in rural areas and ? 55,000 in urban areas. Age limit above 18 years. The individual should be a member of Auto Industrial Cooperative Society. He should have driving license with Batch. This loan is sanctioned at 6 % rate of interest through TAICO Bank and Industrial Cooperative Society for Auto. The pattern of the loan-NMDFC 85% TAMCO 10% Beneficiary 5 %. In addition, he should remit 10% of the loan amount as deposit with TAICO Bank.Loan Amount LPG Auto? 1.21 lakh, Other Auto ? 1 lakh. This loan is sanctioned at 6 % rate of Interest through TAICO Bank and Industrial Cooperative Auto Society. The loan is repayable in 48 monthly instalments.",
Job Oriented Training,"BC, MBC &Minorities Welfare Department","Schemes of BC, MBC Dept. Job Oriented Training. Various types of job oriented training courses ie, Hotel Management and Catering Technology courses, Computer training course, Footwear and Leather goods manufacturing, Plastic processing machine operator course, Heavy Vehicle Training courses are implemented by this Department.",
Kirishi Sampada,"BC, MBC &Minorities Welfare Department","Under the scheme, loan will be given at a maximum of? 50,000 (Microfinance for small farmers and vegetable growers) per beneficiary. Rate of Interest 4 %, TABCEDCO Share 5 %, NBCFDC Share 95 %.",
Loans for Transport Sector,"BC, MBC &Minorities Welfare Department","Schemes of BC, MBC Dept. Loans for Transport Sector - The loan for the purchase of Transport vehicles up to ? 3.13 lakh will be sanctioned at the rate of 10 % per annum.",
Saksham(Loan for Young Professionals to Set Up their Self-Employment Ventures),"BC, MBC &Minorities Welfare Department","Under the scheme, loan will be given at a maximum of? 10,00,000 per beneficiary under General Loan Scheme terms and conditions. Pattern of Assistance Interest (Up to ? 5.00 lakh) (Above ? 5 lakh) Beneficiary Share 5 TABCEDCO Share 10 % 6% 8 % NBCFDC Share 85 % 6 % 8 %.",
Shilp Sampada(Loan for Upgradation of Technical and Entrepreneurial Skill and Self- employment of Traditional Artisans and Craftsmen),"BC, MBC &Minorities Welfare Department","Under the scheme, loan will be given at a maximum of ? 10,00,000 per beneficiary under General Loan Scheme terms and conditions.50 Pattern of Assistance Interest (Up to ? 5 lakh) Above ? 5 lakh) Beneficiary Share 5 TABCEDCO Share 10% 6 % 8% NBCFDC Share 85 % 6 % 8 %.",
Supply of Iron Box,"BC, MBC &Minorities Welfare Department","Schemes of BC, MBC Dept. Supply of Iron Box for Salavaithozhilalars belonging to BC/MBC/DNCs are eligible. The family annual income should not exceed ? 16000 in rural areas and ? 24000 in urban areas.",
Supply of Sewing Machines,"BC, MBC &Minorities Welfare Department","Schemes of BC, MBC Dept. Supply of Sewing Machines. The parental income should not exceed ? 16000 in rural areas and ? 24000 in urban areas. should belong to BC/MBC/DNC. Should have Tailoring Knowledge.",
Micro Credit Scheme for Men of Tamil Nadu Backward Classes Economic Development Corporation Ltd. (TABCEDCO),"BC, MBC &Minorities Welfare Department",Micro Credit scheme for men 1) Minimum ? 2000 and Maximum ?30000 per beneficiary will be given. 2) Repayment period – Minimum 12 months and Maximum 3 years. (Loans will be given to the members of the Self-Help Groups through Self-Help Group) 3) Pattern of Assistanc-Beneficiary Share - 5 % TABCEDCO Share - 5 % National Corporation Share - 90 % Rate of Interest to Self-Help Group through Cooperative Bank - 5 % (p.a.),
Scheme for Women of TABCEDCO,"BC, MBC &Minorities Welfare Department","i) Micro Credit scheme (Mahila Samridhi Yojana) 1) Minimum? 2000 and Maximum ? 30000 per beneficiary will be given.2) Repayment period – Minimum 12 months and Maximum 3 years. (Loans will be given to the members of Self-Help Groups through Self-Help Group). Pattern of Assistance TABCEDCO Share - 5 % National Corporation Share - 95%. Rate of Interest to Self-Help Group through Cooperative Bank - 4 % (p.a.)ii). New Swarnima Scheme Loan up to ? 100000 lakh has been sanctioned in the following pattern. TABCEDCO Share - Pattern of Assistance 5 % , Rate of Interest 5 % (p.a.). National Corporation Share - Pattern of Assistance 95 % ,Rate of Interest 5 % (p.a.) iii). Loans to Entrepreneurship Development Programme. Trained women Entrepreneurship Development Programme. Trained women will be eligible to get loan up to ? 10000 through Cooperative Banks under General Loan Scheme terms and conditions.",
Sathiyavani Muthu Ammaiyar Ninaivu Free Supply of Sewing Machine Scheme,"BC, MBC &Minorities Welfare Department","Sewing machines are supplied free of cost with a view to increasing the self-employment potential for rehabilitation of destitute widows, deserted wives, socially handicapped women and physically handicapped men and women. Scheme of Social Welfare and Nutritious Meal Programme Department, Sathiyavani Muthu Ammaiyar Ninaivu Free Supply of Sewing Machine Scheme, 1. Destitute/Deserted/Widow/Physically handicapped, Certificate with the application 2. Family Income Certificate 3. Age Certificate, Destitute widows, Deserted wives, Destitute Poor Women Below Poverty Line and physically handicapped men and women a) Income limit - Not exceeding ? 12,000 per annum b) Age limit - 20 to 40 years c) Other criteria- Should have knowledge of tailoring.",
Transport Sector Loan,"BC, MBC &Minorities Welfare Department","Muslims, Christians, Sikhs, Buddhists, and Parsis, are eligible to apply. (Religious Minorities) Annual income of the applicant should be within ? 40,000 in rural areas and ? 55,000 in urban areas. Age limit above 18 years. Loan will be sanctioned for one person in a family. Documents to be produced 1. Income and Community Certificates. 2. Ration Card or Residency Certificate and other documents required by the banks.",
Assistance to Lawyers for Starting their Practice,Adi Dravidar and Tribal Welfare Department,"Adi Dravidar/ Tribal Lawyers will be eligible. Lawyers who registered their name within 5 years only eligible. Annual income of parent ? 1,00,000.",
